program,run_number,elapsed_time_s,nprocs
WebSerialNumba.py,1,2.8667,1
WebSerialNumba.py,2,3.3509,1
WebSerialNumba.py,3,5.6749,1
WebSerialNumba.py,4,4.414,1
WebSerialNumba.py,5,4.5766,1
WebSerialNumba.py,6,2.6587,1
WebSerialNumba.py,7,5.0066,1
WebSerialNumba.py,8,2.5561,1
WebSerialNumba.py,9,3.3739,1
WebSerialNumba.py,10,2.9338,1
